short_question,short_answer
i recently finished a round of chemo and started to not feel good i have a slight fever should i call my doctor,call your doctor right away even if it is after hours fever a temperature of 100 4潞f or higher for more than 1 hour or a one time temperature of 101潞f or higher may be the only sign that you have an infection and an infection during chemotherapy can be life threatening it is important for you to remember that even if you do not have a fever but just are not feeling well you should call your doctor right away no matter the time of day visit www preventcancerinfections org to learn about other signs and symptoms of an infection
i have had heartburn for three days cannot eat or drink anything without severe pain nothing works what do you suggest,due to the fact that you have tried some over the counter medications and it has been three days and you do not have any relief not able to drink or eat anything and still severe pain i would strongly recommend calling your doctor or health care provider as soon as possible or go to the er to have it checked out this could be a sign of something serious
i have or think i have genital warts human papillomavirus when should i contact my doctor,call your doctor if you have any of the following symptoms sores bumps rashes blisters or warts on or around your genitals or anus burning pain or severe itching while urinating for women an abnormal vaginal discharge that smells bad for men an abnormal discharge from your penis you suspect you have been exposed to a sexually transmitted disease  std  avoid sexual contact until you have been examined by a doctor children a child can get genital warts in several ways any child with genital warts needs to be evaluated by a doctor to determine the cause and to assess for possible sexual abuse in rare cases infants may develop warts in the larynx laryngeal papillomas which is in the throat from exposure to hpv during birth watchful waiting a doctor should evaluate any warts or other symptoms that suggest infection with the human papillomavirus hpv or another sexually transmitted disease std avoid sexual contact until you have been examined if you have an std avoid sexual contact to prevent spreading the virus sometimes warts may go away on their own if you have genital warts your doctor may observe your condition without using medical treatment this is called watchful waiting this period may vary from a few days to weeks or possibly months the length of the watchful waiting period is based on the severity of your symptoms the progression of the problem if not treated the risks and benefits of waiting your age and medical history who to see in general your family doctor or any of the following health professionals can determine whether you have genital warts nurse practitioner physician assistant family medicine doctor internist treatment may require a specialist such as a gynecologist urologist dermatologist to prepare for your appointment see the topic making the most of your appointment webmd medical reference from healthwise this information is not intended to replace the advice of a doctor healthwise disclaims any liability for the decisions you make based on this information 漏 1995 2011 healthwise incorporated healthwise healthwise for every health decision and the healthwise logo are trademarks of healthwise incorporated
i take diltzac evista and nexium i also take a multivitamin and supplements do these interact with gemfibrozil,the medications that you are taking do not interact with gemfibrozil however if you are looking for a better schedule for taking your medications preventing any drug interactions i would separate out the nexium from the group nexium can decrease the absorption of some vitamins and minerals more specifically the calcium calcium is better absorbed in an acidic environment take the nexium in the morning on an empty stomach by itself later with breakfast take the multivitamin calcium vitamin d fish oil biotin and coq10 at least 60 minutes later diltzac and evista should be taken per frequency prescribed by your physician and may be taken with or without food
i had rhabdomyosarcoma and chemotherapy as a child i started having menstrual problems,i do not feel you are pregnant it seems to be regular hormonal withdrawal spotting that usually occurs during periods the cramps too are due to the same reason take rest keep yourself well hydrated take vitamin and calcium tablets pain killers can be used if the pain due to cramps is high
i am suffering from hair follicle infection folliculitis n seborrhoa,may be there is another focus of infection elsewhere in your body 鈥wab from the lesion would be great and also search for another source of infection in it body 貙 貙u may need systemic antibiotics
i take prilosec 20mgs otc and have taken this daily for over 10 yrs straight,do not worry as side effects does not occur necessarily in each and every individual so if you do not have nay problem with the medication you can continue with it if you want to substitute you can take other drugs like esmoprazole pantoprazole etc antacids like milk of magnesia can also help avoid spicy food and drink plenty of water always take walk after meals and take your dinner atleast 2 hours before sleep you should sleep with head slightly raised as compared to feet hope this helps
what is the best way to treat persistent migraines,persistent migraines need to be defined a bit more by intensity frequency and the type of treatment you are using to elevate the pain if you are using over the counter medications to treat your migraines more than 1 2 times per month then you may want to seek medical advice from your health care professional prescription medications that relieve the symptoms would be the next step if symptomatic relief medications such as ergotamines and triptans are used more than twice a week you should see your health care professional who can prescribe preventive headache medications overuse of symptomatic medications can actually cause more frequent headaches or worsen headache symptoms monitor the frequency of your migraines understand the triggers to provide better information to your health care professional in order to help select the best treatment that is right for you
my sperm ejects unknowingly in the sleep time also what is the problem,there is nothing wrong you are completely normal this phenomenon is quite common and is often referred to as a wet dream in most cases you were having an erotic or sex related dream perhaps one you did not remember when you awoke and your excited brain which controls erections and ejaculation went into full mode just like you are having sex for real in a way this is among the safest sex of all no risk of a sexually transmitted disease or unintended pregnancies you may have to do some laundry however
how can toxoplasmosis be prevented,since toxoplasmosis usually causes mild to no symptoms and a healthy immune system prevents any remaining parasites in the body from causing further symptoms most people do not need to worry about getting this disease however if you have a weakened immune system or are pregnant there are several steps you should take to prevent exposure to toxoplasmosis if you have a weakened immune system get a blood test for toxoplasmosis if your test is positive your doctor can tell you if and when you need to take medicine to prevent the infection from reactivating if you are planning on becoming pregnant you may consider being tested for toxo if the test is positive there is no need to worry about passing the infection to your baby since you should have immunity against the parasite if you are already pregnant you should discuss your risk of toxoplasmosis with your doctor who may order a blood sample for testing wear gloves when you garden or do anything outdoors that involves handling soil since cats often use gardens and sandboxes as litter boxes wash your hands well with soap and warm water after outdoor activities especially before you eat or prepare food have someone else handle raw meat for you if this is not possible wear clean latex gloves and thoroughly wash with soap and hot water any cutting boards sinks knives and other utensils that might have touched the raw meat wash your hands well with soap and warm water afterward cook all meat thoroughly especially pork or veal
i have on going dull knee pains for over two years,you may be suffering from a generalised seronegative arthropathy consult a orthopedist and get necessary investigations done dmards can help if you are found positive for ra
can hand and mouth disease be caused by contact with animal urine or stools or dirty living conditions within the home,no hand foot and mouth disease is a human virus most likely acquired at school or where other children congregate it is not from unsanitary conditions or exposure to animal excrementurine
i have to burp often as i am speaking to a crowd public speaking is part of my job how do i stop the gas  i do not feel like i have anxiety over speaking in front of people the burping is a bit gross and very annoying for me i make sure i do not drink a coke before speaking only water,hi i remember reading something on gas and burping and this was it the link <link> please give it read some of the things to do are quite simple do hope it helps you good luck
i am having grade 1 left varicocele my left testical is small can i do abdominal exercises to reduce tummy  dear doctor i have recently diagnosed with grade 1 left varicocele my left testical slightly small related to normal right testicle my urologist prescribed me maxoza l l carnitine} and ccq25 clomifene+ ubidecarenone for 3 months i using continuously without any gap i am obese  bmi 29  i want to tone my abdominal tummy my doubt is can i do abdominal exercises or if do can affect or increase varicole or not please advice me the other exercises to reduce varicocele if there,hi some links below may help you this first one is deep if you have a medical friend get them to read it for you <link> this link tells you about it and surgery <link> conditionsdisplayconditionstabid4<negative_smiley>articleid77varicocele aspx like the first one and this one lots of info but not a lota about exercising but if you think logically if you start getting any pains stop and do not restart till its completely gone then just restart slowly hope there is some help here good luck
heavy period鈥t is embarrasing,get a blood test get a pap test
i have breast cancer raised creative kinase is it a secondary cancer,hi raised creatine kinase can cause due to variety of other reasons i dont think this is due to any secondary or metastatic cancer you may need other investigations though to confirm the diagnosis consult a physician thanks
i am having a hard time swallowing it looked like there was a hole in one of my tonsils like an actual hole but i also have a sinus infection,this is called a cryptic tonsils tonsils with holes or crypts in them like the surface of the moon cryptic tonsils can trap food particles and other debris this debris can hardencalcify and turn into a tonsillith tonsil stone these stones can dislodge from time to time and startle the person who has them they can also smell or taste bad there are no specific treatmens for these holes other than a tonsillectomy of course gargling with warm salt water after means can help keep these holes from accumulating debris there is no relationship between cryptic tonsils and sinus infections they are two different conditions
i have recently had an hysterectomy do test results show i have cancer,hi chances of developing cancer after you hysterectomy is like 30 chance which is relatively high i give such high chance due to the adenomyosis i recommend regular check up you did not have cancer when you did the hysterectomy but it was the right choice good luck
a girl i have been dating told me she has hpv are my risks any greater with her than the general population  we have not had sex i guess she had some warts and they have gone away without recurrence for at least 5 or so years  she is telling me it is no big deal given the stats i wonder if my risks any greater with her than the general population  i am in the process of divorcing and i logically know this will not be a lifelong thing with the new girl,most helpful answer you ask a great question and i am going to try to give you a great answer if only it were that simple first i think we should acknowledge your current girlfriend for informing you about her hpv diagnosis that is a very responsible and brave thing to do she is behaving the way every adult should act in this situation as to your risk for developing hpv if you have sexual contact with your girlfriend well it is difficult to provide a definitive answer human papillomavirus hpv can exist in the skin without manifesting as warts this means you can not always tell visually whether or not a person has hpv and you can contract the virus through skin to skin contact even in the absence of warts also a condom often does not protect against this contact because the hpv infected area of a woman is vulva may contact the portion of your penis or scrotum not covered by the condom all of that said hpv also can clear up on its own one study showed around 90 percent of female study participants showed no trace of the virus about two years after their initial diagnosis this means it is possible your girlfriend is body has cleared the virus on its own on the other hand the hpv virus can go dormant for years maybe your girlfriend is case is dormant not cleared to your question about is your risk of getting hpv higher with this woman than with the general population  the answer is yes if she is currently infected and no if she has cleared the virus keep in mind if you contract hpv from this girlfriend you risk transmitting the virus to another girlfriend down the road even if you use a condom as i am sure you know certain strains of hpv cause cervical cancer you should consider whether or not you want to be even remotely responsible for spreading this potentially life threatening virus clear as mud wishing you well
is cat nip safe for cats,yes
what are examples of plyometric exercises,trainers have developed thousands of plyometric exercises a simple routine for children and adolescents can start with one to three sets of six to 10 repetitions of one upper body exercise such as a medicine ball chest pass and one lower body exercise such as a double leg hop on two nonconsecutive days per week as muscle strength increases the routine can be expanded to include multiple medicine ball throws jumps and single leg hops plyometrics routines for qualified adults range from low intensity double leg hops to high intensity drills such as depth jumps which involve jumping up to and down from boxes or benches as high as 42 inches high intensity drills can subject a participant to forces up to seven times his or her body weight for sports that require explosive lower body power a plyometric routine may start with ground level jumping on soft surfaces such as padded mats or grass progress to jumping over cones or foam barriers and then advance to bounding exercises performed in straight lines and patterns
is pregnancy possible after 6 years of not being able to conceive,that is a question that can only be answered by a fertility specialist after an extensive diagnostic work up
44 yr female eat healthy excercise high fiber diet take 1000 mg calcium and d and strontium i am a nonsmoker i am 52 and have a family history of osteoporosis i drink soy milk every day and i only drink one cup of coffee ea day no soda 2 3 alcoholic beverages a week lots of veggies 106 lbs i have had my ankle measured for bone density each year and the number keeps dropping latest t score was  1 59 what else can i do,for starters get your vitamin d blood levels checked if you have not already some people with low levels need to take high amounts to get blood levels where they need to be without adequate vitamin d your body can not fully absorb calcium you also want to make sure you participate in regular exercise    weight bearing resistance and cardiovascular types all help and keeping your sodium intake in check can help increase calcium utilization in the body as high sodium diets tends to limit absorption from food lastly check with your doctor about prevention and potential medications that can help for more see this article from webmd <link>
is there a generic form of plavix if not what is clopidogrel,the generic name of plavix is clopidogrel but at this time clopidogrel is not available in the u s as a generic product plavix is the only version of clopidogrel available in the u s
the doctor diagnosed me with epididymitis and prescribed me with a course of doxycycline for 7 days,the chest and stomach pain is unrelated to ur testicular pain doxycycline causes gastritis causing these symptoms take antacids avoid spicy and junk food thanks
how do people get common skin warts,if you have any type of skin wart it means that you came in contact with a wart causing virus sometime in the past 鈥減eople get warts from other people with warts they do not get them from frogs and toads 鈥 says robert brodell md a dermatologist in warren ohio 鈥渢he most common way is direct skin to skin contact such as shaking hands with someone who has warts on their hand you can also get the virus from inanimate objects like towels that have been used by someone with a wart 鈥 the viruses are more likely to cause warts when they come in contact with skin that is damaged or cut getting a small scrape or biting fingernails may bring on a wart similarly cuts and nicks from shaving can provide an avenue for infection
how long does thc stay in your system,this question does not have a straightforward answer unfortunately the active ingredient in marijuana is called delta 9 tetrahydrocannabinol or thc for short when a person smokes marijuana the thc is rapidly absorbed by the body which causes the person to feel high  this effect is short lived lasting maybe three or four hours however an inactive form of thc called delta thc acid deposits itself in the fatty tissue this is called the metabolite of thc many marijuana tests do not look for active thc in the blood stream or urine instead they look for this thc metabolite despite a common belief that it takes longer for heavy pot users to test clean than someone who smoked marijuana just one time there is not much scientific evidence to support that idea every individual is body is unique some people is bodies may clear the thc metabolite more rapidly than others detecting thc depends on the type of test used also some very sensitive tests can measure delta thc acid levels up to 25 days after the person stopped using marijuana while it would be nice to have a solid answer to the question of how long thc stays in your system after smoking marijuana it is just not possible to say with certainty
i have schizophernia and manic depression what medication should i take,unfortunately there is no way anyone could recommend a medication for you here on this site there are many medications and combinations of medications that might be used to treat schizophrenia and depression and your doctor or medical team together will know your health history best and which medications or other treatments would be best for you and your health we hope you will work closely with your doctor or doctors to find a treatment that will help the webmd answers staff
i came down with acute viral myocarditis doctors say its due to anxiety need 2nd opinion,well i agree with your doctor 100 your heart is fine you are having panic attacks u need to see a psychologist good luck
what is a primary brain tumor,a primary brain tumor is one that originates in the brain it is not the same as cancer that develops elsewhere in the body and then spreads to the brain those are called metastatic tumors and their treatment and prognosis depend on the type of cancer it is not all primary brain tumors are cancer approximately 19 000 of the 35 000 new cases each year are brain cancer the rest are benign tumors meaning they are not aggressive and do not normally spread to surrounding tissue but even a benign brain tumor can be a serious life threatening health problem
how do i care for my inhalers and spacer,here are some basic guidelines for caring for metered dose inhalers and dry powder inhalers but be sure to follow any additional instructions your doctor gives you use a dry cloth to wipe away powder or residue from your inhaler only use water if your health care provider recommended it clean a spacer every other day    or once a week if you use it rarely remove the soft ring at the end of the spacer soak the spacer and ring in warm water with mild detergent rinse the ring and spacer in warm water let the ring and spacer air dry or dry them thoroughly with a paper towel before putting them back together do not store your metered dose inhaler or dry powder inhaler near heat or an open flame
when should i wean my baby off his binkie,binkies do not cause dental problems in infants or toddlers so you do not have to worry about this likewise binkies may reuce the incidence of sids crib death i do not think you need to take it away though your son will get used to whatever some parents prefer to encourage thumb sucking since the thumb is always handy sorry    bad pun bottom line make a decision and go with it if you want to terminate the binkie know that there may be a few rough nights but your son will adjust if you want to continue to support it then just do so knowing that there will be no long term benefits if it is stopped by age 5 and that there may also be some benefit
i too am on oxycodone and clonazepam pain management had a urine test positive for morphine which i have never taken,oxycodone is an opiate morphine is also an opiate drug tests often cannot distinguish between the type of opiate that is detected so as long as you are taking prescribed medication there is not cause for concern drug screenings are very odd i bought home tests to screen my boys for drugs it came pack positive for both of them for pcp that was so terribly wrong that they laughed and confessed it was only marijuana i was relieved but still not happy i do not know how you would validate any test being better than another but i do not trust them
what can i expect during week 36 of my pregnancy,baby  your baby measures about 20 7 inches from head to toe and weighs about 6 pounds the baby may drop lower in your abdomen usually assuming the head down position after having frequently assumed other positions during early pregnancy the brain has been developing rapidly and your baby is practicing blinking mom to be  your uterus has grown bigger these last few weeks and is probably up under your ribs but you are in the home stretch after this week you will be seeing your doctor weekly you may be alternating between fatigue and extra bursts of energy you may also be experiencing increased backache and heaviness constipation heartburn and discomfort in your buttocks and pelvis tip of the week  start stocking your freezer with foods that can be easily popped into the oven or microwave after you bring your baby home chili casseroles and many other dishes can be prepared and frozen ahead of time for use later
unexplained headaches 鈥 does mri show problem,what could the lesion indicate
what is the treatment for chlamydia,treatment of chlamydia involves antibiotics a convenient single dose therapy for chlamydia is 1 gram of azithromycin zithromax zmax by mouth alternative treatments are often used however because of the high cost of this medication the most common alternative treatment is a 100 milligram oral dose of doxycycline vibramycin oracea adoxa atridox and others twice per day for seven days unlike gonorrhea there has been little if any resistance of chlamydia to currently used antibiotics there are many other antibiotics that also have been effective against chlamydia as with gonorrhea a condom or other protective barrier prevents the spread of the infection
how long is a 88 year old man hospitialized with a fractured hip,not all hip fractures are the same and not all 88 year old men are the same i do not think is possible to predict hospitalization time without more patient specific information his doctor may be able to easily answer this question
how to treat open cut on a 1 year old,i am sorry but i do not have enough information none in fact to address your question basically it comes down to stitch or no stitch and you only have 8 hours to make that decision wounds that need stitches have a timeline since i can not see this wound you will need to make the call
how much acetaminophen is in one 10 325mg norco tab i take 8 tabs a day,each tablet has 325 mg of acetaminophen
so my friend has herpes and she spit a sunflower seed at me and it landed on a pimple does that mean i have the virus,no it would be highly unlikely for you to contract herpes in this odd way
i had fever bad cough pain and chills for a week,it looks like gastroenteritis consult a physician and get a stool culture done for now take loperamide to control loose motions take more of yogurt and take oral rehydration salts take light meals hope this helps regards
will being on viagra reduce the chances of my wife getting pregnant,if you are having erectile problems viagra can increase your chance of conceiving there are no studies that shows it decreases fertility in any way
four year old daughter gets covered in bites鈥oes not matter where she is,hi it does seem to be an allergy for sure and usually happens in people who are low on immunity more so i feel its due to allergy to something she eats you need to find out from a good dermatologist and start medicines accordingly instead of treating the allergy its always better to prevent it thanks
how can you prevent caluse on your baby toe  i am in scrubs all day and i have these comfortable shoes that i wear which is not tight at all but at the end of the day my little baby toes be killing me any suggestions,you can use a pad available in pharmacies to protect your toe or consider having your shoes custom fit many shoe stores will do this now better yet see a podiatrist and have your feettoes x rayed a callous may indicate that you have a bone spur underneath or even a neuroma painful rather than self treat it would be best to be properly evaluated by an expert
do i need a pregnancy test  my boyfriend and i were fooling around and we had unprotected sex i have never been pregnant before i am 51 have pcos one ovary and my boyfriend had some trouble staying erect due to alcohol he did not orgasm my cycle is unpredictable and i do not know when to expect my next period last one was 25 days ago do i need to worry,i would not worry while it is possible to get pregnant from pre cum it is very unlikely i would wait and see what happens if you really are that worried then i would get a test from the dollar store instead of spending 20 on one test that does the exact same thing as the 1 one
i just contracted chlamydia i have been with the same woman for 6 months does this mean my girlfriend cheated on me,hi try this as a thought chlamydia can stay hidden deep in body tissue for a long time so with this thought do you think she has cheated you or could this have been inside your own body for anything liker 15 years or longer its could be just the same for your gf please do not go breaking up without the full knowledge good luck
can getting the flu shot raise blood pressure  i have been monitoring my blood pressure for about 3 weeks now and the readings have been normal 11075 but i noticed ever since i received my flu shot from a few days ago my blood pressure has been reading higher 140 150 range85 is this a side effect of the flu shot,i am on bp medication beta and calcium channel blockers and my home measured bp averaged 12076 however i had a flu shot a day ago when i had my bp checked hours later averaged 138 15086 90 over three readings i was concerned about this
how long to be trying to get pregnant before consider seeing a fertility doctor i am 38 years old been with my husband 8 years trying for 9 months i am starting to wonder if there is something more to it get checked  also i am 38 years is that considered old therefore should consider fertilitymore specialized doctor anyway,hi question how long or have you been on bc either pills or depo shots as either of these would be a big factor in your problem and how long if you were on either have you been off them
i am a nc resident 58 years old and recovering from ovarian cancer currently my only income is my deceased husband is social security of 650 a month my work disability check has ended my house is paid for and i have a 401k and money in the bank how will my cost for affordable health care be determined will only my small income be considered or will i need to include my home and savings account i currently have cobra benefits that run out in march 2014,income only   not assets   are counted when determining your eligibility for financial assistance you should start shopping now because you will very likely find a health plan through your marketplace that costs less than cobra
my daughter is five years old and just passed a bowel movement with blood,such bouts of blood through stools occur due to rectal causes may be constipation earlier may have triggered the cause give laxatives for smooth stools
my penis is slightly bend towards right does it going to affect my sex life and how to cure it i have this condition since birth,if your penis is only slightly bent it will not interfere with sexual activity without having an exact diagnosis it would be very premature to know if there was a treatment or cure you would need to be examined by a urologist first there is a condition called peyronie is disease that you can read about that involves a bend in the penis during erections i do not know if you have this particular condition or not since you have had this condition apparently from birth
does getting a reverse mortgage on my home affect me qualifying for long term care medicaid,not necessarily medicaid does not prevent people from using tools such as the reverse mortgage to convert equity in their homes into income but you need to be careful because there are conditions and rules can vary by state i highly recommend you contact your state medical assistance medicaid office which has information about state programs that help pay health and nursing home costs as well as services in the community for people with low incomes and limited resources
how do i know if i am giving my child the correct dosage of acetaminophen,the correct dose of acetaminophen for children is based entirely on weight if your child weighs x pounds a doctor or pharmacist can do some quick math and determine that the correct dose is y milligrams there is also a handy table on the side of the packaging that gives the correct dose for certain weight ranges always follow the package instructions or instructions from your doctor starting in the summer of 2011 the only strength of acetaminophen that will be available for sale will be at the 160 mgtsp strength at that same strength it will be packaged separately for children and infants 鈥 the dosing chart will look different and the package will contain different devices to give the drug still the drug itself will be the same so confusion between the infant and children is products will no longer be a problem
what are the symptoms of travelers diarrhea,the symptoms of travelers diarrhea vary generally diarrhea occurs within the first week of travel and lasts up to three to four days affected individuals on average pass up to five loose or watery bowel movements per day which may be associated with cramps on occasion individuals may experience fever or bloody stools
how does hand foot and mouth disease affect pregnancy and the baby,commonly hfm is an illness of children less than 10 years of age adults generally were exposed during childhood and maintain a natural immunity information regarding fetal exposure to hfm during pregnancy is limited no solid evidence exists that maternal enterovirus infection is associated with complications such as spontaneous abortion or congenital defects however should a baby be born to a mother with active hfm symptoms the risk of neonatal infection is high typically such newborns have a mild illness rarely overwhelming infection involving vital organs such as liver heart and brain can be lethal
fell down cracked head 鈥 arms and legs now feeling numb,hi its been 2 weeks now and any minor injury would have been healed till now the swelling and bruise in your head seems to be of concern to me also the tingling and numbness developing in stomach and limbs is not a good sign i suggest you get a ct brain and xrays  scans of the concerned parts done to see for any internal injury that might not be so obvious from outside thanks
diagnosed with 鈥渂lood brain abnormalities鈥 but mri says i am ok,may be the results written was not matching what he have seen in the mriit happens alot
my wife is latest ultra sound shows 4 cysts in her ovary what are chances for ivf in vitro fertilization,get the cysts treated if the cysts are persistent then laproscopic surgery can help in breaking the cysts and then once the ovaries heal you can proceed for proper treatment like clomiphene and gonadotropin injection for ovulation only if the uterine and other hormonal conditions are favourable for maintaining the conception so first of all treatment of cysts has to be done hope this helps
can you get pregnant any time,hi just did a little research and found you this as your read all very interesting <link> just copy link into google to the www to open and read hope it helps you good luck
what doctor should i see or what do you thinks wrong  i was prescribed amitriptyline 8 months ago for vulvodynia my doctor recently weaned me off the medication due to side effects and have been off of it for three weeks since stopping the medication i have been experiencing headaches arm and leg pain right eye twitching pressure on the top of the head lower face tingling constant fatigue and the vaginal pain returned what could all this mean,it means you should go see your primary care doctor to find out what is going on here since you have been off the amitriptyline for three weeks the medication should be totally out of your system that means your symptoms must be due to something else you need a physical examination and possibly some lab work to figure this out it is not surprising the vaginal pain returned after you stopped the amitriptyline since vulvodynia is a chronic condition hopefully you will find something else that works to treat it without side effects wishing you well
how to treat arthritis in the jaw,hi try this its a post of mine this mix is very good for ra but do give it a 12 week trail your see and its very good for you blood a good all round egg the way out and clearing away plaque would be to get on cayenne pepper turmeric and garlic take this each morning and see how you go its all very healthy for you you just mix cp and turmeric 5050 in olive oil and then mix with tomato paste and thin it with olive oil at first you just mix this to a heat that suits you and over time you can slowly increase the cp and turmeric you take 3 teaspoonfuls each morning first thing you wash each spoonful down with water before anything else just after you get up one thing it will warm you up with this which will also help would be very fine chopped garlic just do a whole head chopped fine and keep in olive oil with this you add dried parsley a couple of good desert spoonful is and mix you just add a teaspoonful on top of the cp an turmeric mix just mix into the top take as said the parsley its very good for the blood and helps keep your cholesterol down please do keep both jars in the fridge keeps a lot better that way now if you google and read up about all three there very good for ed your cholesterol heart and its arteries prostate and ra garlic is also very good for your blood so along with the cp and turmeric your be doing your body the world of good at first you really need to be taken this 3 times a day the other 2 times just before meals for 2 weeks then just twice a day for 2 weeks then just the once at first thing in the mornings great way to start the day and yes have had ed now in recovery and do take what is above daily along with other supplements and a hormone so do hope this helps you good luck ps this really needs a 12 week trail to see if its going to work for you if its for ra do increase it up the stronger it is the better it works for you do not forget to up the amount of cp and turmeric as you go on one last piece of info some cp i got out here in greece was not very hot so changed shops and using a 5050 mix of cp and chilli powder this i put a heaped teaspoon on top each day along with a heaped teaspoon of turmeric now from a site i am on they say to help turmeric get absorbed to take a 录 teaspoon of black pepper with it and because if these extra amounts its now 4 teaspoon is each morning what a great way to light a fire in
what are the side effects of weight loss pills,this question i have to tell you that is kind of one of those things that i guess asked all the time and i have to ask if they are taking the over the counter one which is alli or are they taking a prescription one some of the prescription ones work a little differently and it depends on the type of medication that they are on so as a pharmacist i am going to ask you to tell me which one you are on before i give you this type of information common side effects with some of the stimulant forms that are used to weight loss can include things like heart palpitations rises in blood pressure nausea dizziness constipation abdominal pain so you want to be really careful when patients are taking these to make sure they are not taking any other medications that they do not have any chronic conditions like high blood pressure or cardiovascular disease products like alli have more treatment effects which could include some fatty oils that will come out when they actually go in the bathroom they might experience some flatulence or gas we call them treatment effects but once again if they are just part of the medication doing its job it is actually helping you train to eat better and avoiding foods that are high in fat so just come and talk to me i will be more than happy to tell you what might happen to you if you have any additional questions we can always call your doctor and get you switched to something else
why does my pee smell like rotton eggs i drink a lot of water and iam also drinking lemon and water but sometimes my pee smells like rotton eggs i notice that i dont eat aspargus often so i know that is not the cause,urine can have an odor when it is very concentrated or from other foods some foods such as asparagus vitamins and antibiotics such as penicillin  can cause urine to have a different odor a sweet fruity odor may be caused by uncontrolled diabetes a urinary tract infection uti can cause a bad odor urine that smells like maple syrup can mean maple syrup urine disease when the body can not break down certain amino acids a rotten smell should be medically investigated at least by a urinalysis
what is migraine without aura,migraine without aura is a relatively new name for the most common type of migraine headache another name you might hear is common migraine these migraines do not have an aura aura is the name for early unusual symptoms some people notice shortly before a migraine starts
does secondhand smoke go through a machine that makes oxygen off room air is it dangerous to people with copd  i have emphysema and quit smoking 6+ years ago when diagnosed i was able to get off oxygen after leaving the hospital and manage to work three years ago i have moved to a building where the person on the other side of the wall is a heavy smoker since then i have become dependent on an oxygen machine could this second hand smoke be the cause of my decline over the past three years and does it get sucked through the oxygen machine,second hand smoke is tobacco smoke exhaled by a smoker and involuntarily breathed in by another person here are some 2nd hand smoke facts according to the national cancer society 鈥t least 69 chemicals produced by 2nd hand smoke are known to cause cancer 鈥2nd hand smoke does cause cancer in nonsmokers 鈥2nd hand smoke has also been associated with heart disease in adults and ear infections asthma sudden death syndrome in children 鈥2nd hand smoke has no safe exposure level i am not an expert on building structures or their air circulation systems and do not have technical details of your building is air circulation system with that said i will provide my understanding of the air quality in many office buildings occupied today and referred to as sick buildings these buildings may have poor air exchange systems filtering systems that are inadequate in size not adequately cleaned or otherwise properly maintained my own anecdotal accounting is that many of these types of building almost never receive fresh air as windows are only for the aesthetic purpose of providing natural light the windows are sometimes permanently fixed shut in effect the building occupants may be continually breathing the same polluted air irritations of the eyes ears and throats are frequent complaints of these building occupants due in part to chemical and environmental containments from indoor and outdoor sources in summary 鈥2nd hand smoke is dangerous it can cause cancer and other chronic health problems 鈥any office buildings today circulate unhealthy air 鈥 my conclusion is that your health problems at least in part may be due to the effects of 2nd hand smoke being breathed in while working in your office building
